# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
4,23,27,38,0,12,41,45,50,13,52,53,47,36,49,32,37,19,26,1,17,3,29,8,9,24,42,48,31,7,11,55,5,43,35,34,54,18,39,10,22,33,44,14,46,20,51,28,16,40,21,25,30,6,15,2 2276.0 40.394999999999996 14.0 94900.0 1.4350273225806451 40.38
4,23,27,38,0,40,45,50,13,52,24,53,47,29,49,32,37,19,26,1,46,8,9,36,3,12,42,48,31,7,11,55,18,43,35,34,54,39,10,22,17,14,5,20,51,41,28,16,33,21,25,30,6,44,15,2 2352.0 39.620000000000005 15.0 106100.0 1.3906535506312947 40.894999999999996
4,23,27,38,0,12,41,45,50,13,52,53,47,36,49,32,37,19,26,1,46,3,29,8,9,24,42,48,31,7,11,55,43,17,35,34,54,14,39,10,22,40,5,20,51,18,28,16,33,21,25,44,30,6,15,2 2210.0 40.394999999999996 15.0 90600.0 1.4904341438476134 42.59
4,23,38,0,27,12,41,45,50,13,52,53,47,29,49,32,37,19,26,1,46,8,36,3,24,42,9,48,31,7,11,55,43,40,35,34,54,18,39,10,22,33,14,5,20,51,44,28,21,16,17,30,6,15,25,2 2218.0 44.555 16.0 87700.0 1.4936755079367976 42.88
#
34,24,33,3,50,42,48,11,47,7,5,6,30,2,38,25,18,1,41,21,39,17,26,45,51,28,31,10,37,23,16,52,54,0,32,27,9,43,14,4,40,49,20,36,44,12,13,29,8,22,53,55,35,15,19,46 2193.0 44.745 18.0 87100.0 1.482548651565465 40.851000000000006
34,0,33,3,50,48,42,11,47,7,18,5,6,4,2,38,25,1,41,17,21,39,45,51,28,31,10,37,26,23,16,24,54,32,27,9,49,14,44,20,40,43,12,36,52,30,13,29,8,22,53,55,35,15,19,46 2404.0 45.652 15.0 111400.0 1.4242125060483872 40.78
34,33,3,50,42,48,24,11,47,7,18,6,30,2,38,21,41,1,39,25,45,17,5,51,28,31,10,37,26,23,16,52,54,0,32,27,9,43,14,4,20,40,49,36,44,12,13,29,8,22,53,55,35,15,19,46 2353.0 39.132000000000005 16.0 111100.0 1.4625633855398241 40.236
34,24,33,3,50,42,48,11,47,7,5,18,6,30,2,38,25,1,41,21,39,17,26,45,51,28,31,10,37,23,16,52,54,0,32,27,9,43,14,4,40,49,20,36,44,12,13,29,8,22,53,55,35,15,19,46 2199.0 43.144999999999996 18.0 88800.0 1.482214651565465 40.851000000000006
34,24,33,3,50,42,17,11,47,7,5,18,6,30,2,38,25,1,41,21,39,48,45,51,28,31,10,37,26,23,16,12,0,54,32,27,9,49,4,14,20,40,43,36,44,52,13,35,8,22,53,55,29,15,19,46 2402.0 45.532000000000004 17.0 111800.0 1.3971518044354838 38.76
34,33,3,50,42,48,24,11,47,7,18,6,30,2,38,21,41,29,39,25,45,17,5,51,28,31,10,37,26,23,16,52,54,0,32,27,9,43,53,14,4,40,49,20,36,44,12,13,1,8,22,55,35,15,19,46 2458.0 40.730000000000004 17.0 121500.0 1.3992477596670803 39.766999999999996
34,20,33,3,50,42,48,11,47,31,18,6,30,2,0,38,25,1,41,17,21,39,45,51,28,7,10,37,26,23,16,24,54,32,27,9,49,14,44,4,40,43,12,36,52,5,13,29,8,22,53,55,35,15,19,46 2429.0 54.55199999999999 14.0 110400.0 1.4512659133064514 40.766
34,33,3,50,42,0,11,47,7,5,45,48,6,30,2,38,25,1,41,21,39,17,18,51,28,31,10,37,26,23,16,44,24,54,32,27,9,43,14,4,20,40,49,36,52,12,13,29,8,22,53,55,35,15,19,46 2470.0 53.87200000000001 16.0 115900.0 1.3563495342741936 38.476
34,24,33,3,50,42,48,11,47,7,5,18,6,30,2,38,25,1,41,21,39,17,26,45,51,28,31,10,37,23,53,16,52,54,0,32,27,9,43,14,4,40,49,20,36,44,12,13,29,8,22,55,35,15,19,46 2219.0 43.800000000000004 16.0 91900.0 1.482430651565465 40.836
34,0,33,3,50,42,48,11,47,7,20,45,6,30,2,38,25,1,41,21,39,17,18,51,28,31,10,37,26,23,16,44,24,54,32,27,9,49,14,4,40,43,36,5,52,13,29,8,22,53,12,55,35,15,19,46 2393.0 55.742 18.0 106900.0 1.4556017076612906 39.72299999999999
34,0,33,3,50,48,42,11,47,7,18,5,6,4,2,38,25,1,41,17,21,39,45,51,28,31,10,37,26,23,16,20,24,54,32,27,9,49,14,30,40,43,36,12,44,52,13,29,8,22,53,55,35,15,19,46 2493.0 47.992 15.0 121100.0 1.4081836693548386 40.68599999999999
